1 Facility Name,2 Street Address,3 city,4 state,5 ZIP Code,6 Phone,7 Designation,acr_site_id,facility_id,Registry Participant
Marshall Browning Hospital,900 N Washington St,Du Quoin,IL,62832-1233,618-542-1072,LCSR,10068722,115825,YES
Radiology Associates of Englewood,900 Pine St Ste 116,Englewood,FL,34223-4457,941-488-7781,LCSR,10074409,105211,YES
Susquehanna Health-Savoy Plaza,900 Plaza Dr,Montoursville,PA,17754-2448,570-321-2524,LCSR,10082804,104324,YES
Northside Towne Lake,900 Towne Lake Pkwy Ste 100,Woodstock,GA,30189-1603,770-591-9711,LCSR,10065600,110943,YES
Sacred Heart Hospital,900 W Clairemont Ave,Eau Claire,WI,54701-6122,715-717-3989,LCSR,10062913,104955,YES
UPMC Williamsport Montoursville Medical Plaza,900Plaza Drive,Montoursville PA,PA,17754,570-321-2545,Lung Cancer Screening Designated Site,10066112,225336,YES
Essentia Health Virginia Hospital,901 9th St N,Virginia,MN,55792-2325,218-741-3340,LCSR,10074832,105262,YES
MercyOne Elkader Medical Center,901 Davidson St NW,Elkader,IA,52043-9015,563-245-7037,LCSR,10068197,105606,YES
Mercy Hospital,901 E 5th St,Washington,MO,63090-3127,636-239-8250,LCSR,10062978,104784,YES
Mercyhealth Hospital - Harvard,901 Grant St,Harvard,IL,60033-1821,815-943-8640,LCSR,10068520,115332,YES
Bell Hospital,901 Lakeshore Dr,Ishpeming,MI,49849-1367,906-485-2632,LCSR,10079047,105723,YES
Community Hospital,901 MacArthur Blvd,Munster,IN,46321-2901,219-836-1600,Lung Cancer Screening Designated Site,10063959,109139,YES
Boice Willis Clinic,901 N Winstead Ave,Rocky Mount,NC,27804-8467,252-937-0200,LCSR,10081393,105784,YES
Mercy Medical Building South,901 Patients First Dr,Washington,MO,63090-4700,636-390-1593,LCSR,10074274,104783,YES
South Jersey Radiology Associates Turnersville,901 Route 168 Ste 301-305,Turnersville,NJ,08012-3210,,Lung Cancer Screening Designated Site,10107360,4176,NO
South Jersey Radiology Associates Turnersvill,901 Route 168 Suite 301 Washington Professional Campus,Turnersville,NJ,08012,856-227-6600,LCSR,10074494,101497,YES
South Jersey Radiology Associates Turnersville,901 Rt 168 Suites 301 Washington Professional Campus II,Turnersville,NJ,08012,888-909-7572,Lung Cancer Screening Designated Site,10084041,4176,YES
AllianceHealth Madill,901 S 5th Ave,Madill,OK,73446-3640,580-795-0283,LCSR,10066303,114848,YES
Florida Cancer Specialists - Venice Island,901 Tamiami Trl S,Venice,FL,34285-3668,941-484-3531,LCSR,10076849,107587,YES
ARA--Midtown,901 W 38th St Ste 100,Austin,TX,78705-1164,512-519-3456,LCSR,10060316,100690,YES
Freehold Office,901 W Main St,Freehold,NJ,07728-2537,732-462-3302,Lung Cancer Screening Designated Site,10008204,111031,YES
Northern Cochise Community Hospital,901 W Rex Allen Dr,Willcox,AZ,85643-1009,520-766-6461,LCSR,10070938,112748,YES
Polyclinic at Madison Center,904 7th Ave,Seattle,WA,98104-1132,206-860-5496,Lung Cancer Screening Designated Site,10073934,54170,YES
The Polyclinic Madison,904 7th Ave Diagnostic Imaging - 2nd Floor,Seattle,WA,98104,206-320-6127,LCSR,10100727,104263,YES
Mercy Health Urbana Hospital,904 Scioto St,Urbana,OH,43078-2226,937-523-1667,Lung Cancer Screening Designated Site,10071841,3567,YES
Advanced Medical Imaging,905 Highland Blvd Ste 4100,Bozeman,MT,59715-6901,406-556-5200,LCSR,10070806,104130,YES
Blount Memorial Hospital,907 E Lamar Alexander Pkwy,Maryville,TN,37804-5015,865-977-4645,LCSR,10068774,107391,YES
Zwanger Pesiri Radiology - Great Neck,907 Northern Blvd,Great Neck,NY,11021-5304,516-798-4242,LCSR,10077292,116365,YES
Morristown Hamblen HealthCare System,908 W 4th North St,Morristown,TN,37814-3894,423-492-6800,LCSR,10068739,106365,YES
Cavalier County Memorial Hospital,909 2nd St,Langdon,ND,58249-2407,701-256-6190,LCSR,10060615,109441,YES
CSC Ambulatory Care Center,909 Fulton St SE,Minneapolis,MN,55455-4800,612-273-8383,LCSR,10080993,100376,YES
Franciscan Express Care/Imaging Center,909 Sagamore Pkwy W,West Lafayette,IN,47906-1443,765-463-6262,LCSR,10065677,115428,YES
St Alphonsus Medical Group Fruitland,910 NW 16th St,Fruitland,ID,83619-2265,541-881-7125,LCSR,10107461,101462,YES
RAYUS Radiology Mendota Heights,910 Sibley Memorial Hwy,Mendota Heights,MN,55118-1708,651-455-5500,LCSR,10062376,100655,YES
Renown Imaging at Vista,910 Vista Blvd,Sparks,NV,89434-6501,775-982-5585,Lung Cancer Screening Designated Site,10071755,106476,YES
Owensboro Health Twin Lakes Medical Center,910 Wallace Ave,Leitchfield,KY,42754-2414,270-259-9595,LCSR,10064114,106488,YES
St Vincent Salem,911 N Shelby St,Salem,IN,47167-2304,812-883-8509,LCSR,10083714,106793,YES
Northland Medical Center,911 Northland Dr,Princeton,MN,55371-2172,763-389-6442,LCSR,10068154,103777,YES
Clay County Hospital,911 Stacey Burk Dr,Flora,IL,62839-3241,618-662-2131,LCSR,10098582,107262,YES
Northside Eagles Landing Imaging,913 Eagles Landing Pkwy Ste 200,Stockbridge,GA,30281-5011,770-506-4466,LCSR,10064668,110974,YES
Hardin Memorial Health,913 N Dixie Ave,Elizabethtown,KY,42701-2503,270-706-1549,LCSR,10065962,106334,YES
Providence Centralia Hospital (2),914 S Scheuber Rd,Centralia,WA,98531-9027,360-736-2803,LCSR,10074994,107247,YES
St Lukes Hospital Duluth,915 E 1st St,Duluth,MN,55805-2107,218-249-5661,LCSR,10061612,107431,YES
Grand View Hospital Sellersville Outpatient Center,915 Lawn Ave,Sellersville,PA,18960-1551,215-453-4100,Lung Cancer Screening Designated Site,10065635,51220,YES
Pipestone County Medical Center,916 4th Ave SW,Pipestone,MN,56164-1890,507-825-5811,LCSR,10069200,104031,YES
Sturgis Hospital,916 Myrtle St,Sturgis,MI,49091-2326,269-659-4461,LCSR,10073459,111019,YES
Carolinas Medical Center - NorthEast,920 Church St N,Concord,NC,28025-2927,704-403-2045,LCSR,10072692,100900,YES
Wilbarger General Hospital,920 Hillcrest Dr,Vernon,TX,76384-3132,940-553-2856,LCSR,10068447,108974,YES
Hardin Memorial Hospital,921 E Franklin St,Kenton,OH,43326-2020,419-675-8181,LCSR,10068565,101317,YES
Memorial Hermann Health System,921 Gessner Rd,Houston,TX,77024-2501,713-242-3498,LCSR,10071374,104985,YES
Tennova Lafollette Medical Center,923 E Central Ave,La Follette,TN,37766-2768,423-907-1417,LCSR,10066470,114306,YES
Dosher Memorial Hospital,924 N Howe St,Southport,NC,28461-3038,910-457-3881,LCSR,10061110,105407,YES
UCLA Medical Center Department of Radiology,924 Westwood Blvd,Los Angeles,CA,90024-2910,310-794-8979,LCSR,10100484,100404,YES
Diagnostic Imaging Services - Marerro,925 Avenue C,Marrero,LA,70072-3148,504-459-3200,LCSR,10069193,107551,YES
Envision Imaging of Las Colinas,925 W Royal Ln,Irving,TX,75039-4343,214-483-6200,Lung Cancer Screening Designated Site,10063025,114389,YES
Lakeview Hospital,927 Churchill St W,Stillwater,MN,55082-6605,651-430-4680,LCSR,10061276,107471,YES
Appomattox Imaging Center,930 South Ave Ste 1,Colonial Heights,VA,23834-3620,804-524-2340,LCSR,10074332,103455,YES
Methodist Jennie Edmundson Hospital,933 E Pierce St,Council Bluffs,IA,51503-4626,402-354-4370,Lung Cancer Screening Designated Site,10064994,103628,YES
Hardin Medical Center,935 Wayne Rd,Savannah,TN,38372-1904,731-926-8162,LCSR,10067748,114581,YES
Olympic Medical Center,939 Caroline St,Port Angeles,WA,98362-3909,360-417-7608,LCSR,10068121,100555,YES
Coquille Valley hospital,940 E 5th St,Coquille,OR,97423-1666,541-396-1056,LCSR,10086051,114865,YES
Parkridge Medical Center,941 Spring Creek Rd,Chattanooga,TN,37412-3909,423-493-1390,Lung Cancer Screening Designated Site,10063191,105740,YES
Aurora Medical Center Sinai,945 N 12th St,Milwaukee,WI,53233-1305,414-219-7219,LCSR,10070961,115972,YES
AdventHealth Lake Mary ER,950 Rinehart Rd,Lake Mary,FL,32746-1555,407-303-2200,LCSR,10068963,106853,YES
North Brevard County Hospital District dba Parrish Medical Center,951 N Washington Ave,Titusville,FL,32796-2163,,Lung Cancer Screening Designated Site,10070004,1471,NO
North Brevard County Hospital District dba Parrish Medical Center,951 NWashington Avenue,Titusville,FL,32796,321-268-6680,Lung Cancer Screening Designated Site,10087941,1471,YES
ADR LLC,952 Seton Dr,Cumberland,MD,21502-1950,301-777-3829,LCSR,10066608,112828,YES
Bronson South Haven Hospital,955 S Bailey Ave,South Haven,MI,49090-6743,269-639-2830,LCSR,10068733,110912,YES
HVRA of Intercounty,955 Yonkers Ave Ste 14,Yonkers,NY,10704-3062,914-776-7700,LCSR,10077700,106942,YES
WASHINGTON REGIONAL MEDICAL CENTER,958 US Highway 64 E,Plymouth,NC,27962-9216,252-793-4135,LCSR,10063524,106379,YES
UMMC Grenada Hospital,960 Avent Dr,Grenada,MS,38901-5230,662-227-7078,LCSR,10069585,110752,YES
Westlake Health Center,960 Clague Rd,Westlake,OH,44145-1582,440-250-2100,LCSR,10060070,103772,YES
Cartersville Medical Center,960 Joe Frank Harris Pkwy SE,Cartersville,GA,30120-2129,770-382-1530,LCSR,10062924,105730,YES
UAB Medicine Gardendale,960 Rocket Way Ste 100,Gardendale,AL,35071-4750,205-263-0952,LCSR,10101851,115760,YES
St Dominic Hospital,969 Lakeland Dr,Jackson,MS,39216-4606,601-200-2725,LCSR,10059997,105201,YES
AHN Outpatient Center-Waterworks,970 Freeport Rd,Pittsburgh,PA,15238-3100,412-325-5005,Lung Cancer Screening Designated Site,10105307,114446,YES
Homestead Hospital,975 Baptist Way,Homestead,FL,33033-7600,786-243-8520,LCSR,10080681,103422,YES
Erlanger Medical Center,975 E 3rd St,Chattanooga,TN,37403-2147,423-778-7000,LCSR,10069102,104813,YES
Aurora Medical Center Grafton,975 Port Washington Rd,Grafton,WI,53024-9201,126-232-9810,Lung Cancer Screening Designated Site,10065654,106923,YES
Northside Doctors Centre Imaging,980 Johnson Ferry Rd Ste 300,Atlanta,GA,30342-1607,404-851-6383,LCSR,10067172,110957,YES
Providence Mt Carmel Hospital,982 E Columbia Ave,Colville,WA,99114-3316,150-968-5528,Lung Cancer Screening Designated Site,10075491,114231,YES
Zwanger Pesiri Radiology - Smithtown West,987 W Jericho Tpke,Smithtown,NY,11787-3203,631-992-6437,LCSR,10066620,106024,YES
Meadowview Regional Medical Center,989 Medical Park Dr,Maysville,KY,41056-8750,606-759-3132,LCSR,10062535,107070,YES
Methodist Medical Center,990 Oak Ridge Tpke,Oak Ridge,TN,37830-6976,865-835-4603,LCSR,10088487,103632,YES
Bothwell Diagnostic Center,990 Winchester Dr,Sedalia,MO,65301-2416,660-827-5577,LCSR,10069991,114163,YES
Health Images at Southpark,991 Southpark Dr Ste 100,Littleton,CO,80120-5689,303-794-8000,LCSR,10066628,113954,YES
Northside Johnson Ferry Imaging,993F Johnson Ferry Rd Bldg F Suite 110,Atlanta,GA,30342-1602,404-252-3995,LCSR,10069392,110958,YES
Clinton Crossings,995 Senator Keating Blvd Ste 100 Bldg E,Rochester,NY,14618-2777,585-241-6400,Lung Cancer Screening Designated Site,10080027,106893,YES
Ide Imaging Partners Inc dba/Borg and Ide Imaging PC,995 Senator Keating BlvdSuite 100 Building E,Rochester,NY,14618,585-241-6600,Lung Cancer Screening Designated Site,10091148,9293,NO
North Star MRI LP,997 Raintree Cir Ste 110,Allen,TX,75013-4952,972-954-8001,LCSR,10062933,115151,YES
Jefferson Out Patient Imaging Marlton,999 NJ-73 Suite 101,Marlton,NJ,08053,267-539-3750,LCSR,10088956,115713,YES
Radnet at Marlton,999 Route 73 N,Marlton,NJ,08053-1227,856-424-2929,Lung Cancer Screening Designated Site,10065024,106977,YES
Jefferson Univ Rad Assocdba/Jefferson Outpatient Imaging,999 Rt 73 North Suite101,Marlton,NJ,08053,215-503-4900,Lung Cancer Screening Designated Site,10081768,5057,YES
San Antonio Regional Hospital,999 San Bernardino Rd,Upland,CA,91786-4920,909-985-2811,LCSR,10084590,104742,YES
Mayo Clinic Health System-Austin,1000 1st Dr NW,Austin,MN,55912-2941,507-433-7351,LCSR,10074904,107445,YES
MercyOne North Iowa Medical Center,1000 4th St SW,Mason City,IA,50401-2800,641-428-7000,Lung Cancer Screening Designated Site,10061100,104082,YES
Mount Sinai West,1000 10th Ave,New York,NY,10019-1147,212-523-4000,Lung Cancer Screening Designated Site,10063565,110546,YES
Virtua Camden,1000 Altanic Ave,Camden,NJ,08104,856-246-3010,Lung Cancer Screening Designated Site,10091989,225854,YES
Radiology Associates of Hartford PC,1000 Asylum Ave Ste 3201E,Hartford,CT,06105-1714,860-714-2724,LCSR,10082261,106742,YES
Virtua Camden,1000 Atlantic Ave,Camden,NJ,08104-1132,856-246-3000,LCSR,10085799,104628,YES
CMC-MAIN,1000 Blythe Blvd,Charlotte,NC,28203-5812,704-355-3107,LCSR,10066491,101374,YES
StClair Hospital,1000 Bower Hill Rd,Pittsburgh,PA,15243-1873,412-942-3120,Lung Cancer Screening Designated Site,10065454,107447,YES
St Joseph Medical Center,1000 Carondelet Dr,Kansas City,MO,64114-4673,816-943-4556,LCSR,10070219,104547,YES
Diagnostics Cowles Clinic,1000 Cowles Clinc Way,Greensboro,GA,30642-5285,706-454-2660,LCSR,10102467,115695,YES
Heritage Valley Beaver,1000 Dutch Ridge Rd,Beaver,PA,15009-9727,724-773-2071,LCSR,10083344,104974,YES
Hendricks Regional Health,1000 E Main St,Danville,IN,46122-1948,317-745-3425,LCSR,10067121,115838,YES
Geisinger Wyoming Valley,1000 E Mountain Dr,Wilkes Barre,PA,18711-0027,570-808-7300,LCSR,10067623,101112,YES
Medina Hosptial,1000 E Washington St,Medina,OH,44256-2170,216-/40-1575,LCSR,10075090,101751,YES
UPMC Pinnacle Imaging of Millersburg,1000 Evelyn Dr,Millersburg,PA,17061-1258,717-791-2402,Lung Cancer Screening Designated Site,10073913,103875,YES
McLaren Macomb,1000 Harrington St,Mount Clemens,MI,48043-2920,586-493-8042,LCSR,10068376,105089,YES
Sarah Bush Lincoln Health Center,1000 Health Center Dr,Mattoon,IL,61938-4644,217-238-4524,LCSR,10074292,103700,YES
South Jersey Radiology Associates Greentree,1000 Lincoln Center Drive East Suite 1,Marlton,NJ,08053,856-983-1818,Lung Cancer Screening Designated Site,10093283,101498,YES
Orange City Area Health System,1000 Lincoln Cir SE,Orange City,IA,51041-1862,712-737-5245,LCSR,10095531,116212,YES
Colorado Plains Medical Center,1000 Lincoln St,Fort Morgan,CO,80701-3290,0--0,LCSR,10062068,115965,YES
Greene County Medical Center,1000 Lincoln Way,Jefferson,IA,50129,515-386-2114,LCSR,10064931,115249,YES
Marion General Hospital,1000 McKinley Park Dr,Marion,OH,43302-6399,740-383-8400,LCSR,10073085,105000,YES
Gwinnett Medical Center Lawrenceville-Inpatient,1000 Medical Center Blvd,Lawrenceville,GA,30046-7694,678-312-3589,LCSR,10069144,116189,YES
Coastal Carolina Hospital,1000 Medical Center Dr,Hardeeville,SC,29927-3446,843-784-8023,LCSR,10072036,105819,YES
Kirby Medical Center,1000 Medical Center Dr,Monticello,IL,61856-2116,217-762-1501,LCSR,10068951,115839,YES
Mercyhealth Hospital & Trauma Center,1000 Mineral Point Ave,Janesville,WI,53548-2940,608-756-6142,Lung Cancer Screening Designated Site,10060364,101063,YES
Good Samaritan Hospital Medical Center,1000 Montauk Hwy 10 Berkley Place,West Islip,NY,11795,631-376-4144,LCSR,10085738,100673,YES
Henry County Memorial Hospital,1000 N 16th St,New Castle,IN,47362-4319,765-521-1161,LCSR,10061534,115604,YES
St Anthony Hospital,1000 N Lee Ave,Oklahoma City,OK,73102-1036,405-272-8465,Lung Cancer Screening Designated Site,10064160,115212,YES
Marshfield Clinic,1000 N Oak Ave,Marshfield,WI,54449-5703,715-221-8088,Lung Cancer Screening Designated Site,10060036,105446,YES
Warren Memorial Hospital,1000 N Shenandoah Ave,Front Royal,VA,22630-3547,540-636-0250,LCSR,10064623,113986,YES
Mercy Medical Center,1000 N Village Ave,Rockville Centre,NY,11570-1000,516-705-1301,LCSR,10072429,111057,YES
Northwestern Medicine Lake Forest Hospital,1000 N Westmoreland Rd,Lake Forest,IL,60045-1658,847-535-8899,Lung Cancer Screening Designated Site,10070975,114995,YES
Northwestern Lake Forest Hospital,1000 N Westmoreland Road Pav B 2nd Floor,Lake Forest,IL,60064,,Lung Cancer Screening Designated Site,10105512,249,NO
Precision Imaging Centers-St Augustine,1000 Plantation Island Dr S Ste 1,St Augustine,FL,32080-3106,904-996-8100,LCSR,10067666,107419,YES
University of Texas East Texas,1000 S Beckham Ave,Tyler,TX,75701-1908,903-597-0351,LCSR,10066904,104969,YES
Our Lady of Bellefonte Hospital,1000 Saint Christopher Dr,Ashland,KY,41101-7034,606-833-2111,Lung Cancer Screening Designated Site,10077045,105612,YES
Highland,1000 South Ave,Rochester,NY,14620-2733,585-341-6787,Lung Cancer Screening Designated Site,10069910,102114,YES
UK HealthCare - Pav G,1000 South Limestone St Gill Building,Lexington,KY,40536-0001,859-323-5000,LCSR,10092844,102084,YES
St Lukes McCall,1000 State St,McCall,ID,83638-3704,208-381-2222,LCSR,10064215,106988,YES
Parkridge West Hospital,1000 Tennessee 28,Jasper,TN,37347,423-837-9500,LCSR,10061697,105237,YES
Queen of the Valley Medical Center,1000 Trancas St,Napa,CA,94558-2906,707-252-4411,LCSR,10060362,100779,YES
Yuma District Hospital,1000 W 8th Ave,Yuma,CO,80759-2641,970-848-4641,LCSR,10067292,103591,YES
PHELPS HEALTH,1000 W 10th St Dept Medical,Rolla,MO,65401-2905,573-458-7774,LCSR,10068345,116549,YES
RAYUS Radiology Oviedo,1000 W Broadway St Ste 104,Oviedo,FL,32765-9261,407-977-9597,LCSR,10065700,100657,YES
Baptist Hospital - Main,1000 W Moreno St,Pensacola,FL,32501-2316,850-434-4606,LCSR,10067828,104500,YES
Community Medical Center,1000 W South Boulder Rd,Lafayette,CO,80026-2752,303-415-4300,LCSR,10073544,114545,YES
Boulder Community Health - Community Medical Center,1000 W South Boulder Road Radiology Department,Lafayette,CO,80026,303-440-2170,Lung Cancer Screening Designated Site,10083448,7091,YES
AdventHealth Waterman,1000 Waterman Way,Tavares,FL,32778-5266,352-253-3333,Lung Cancer Screening Designated Site,10068473,106391,YES
Lima Memorial Health System,1001 Bellefontaine Ave,Lima,OH,45804-2800,419-226-5055,LCSR,10069296,103960,YES
UPMC Cole,1001 E 2nd St,Coudersport,PA,16915-8161,814-274-5303,Lung Cancer Screening Designated Site,10065439,10410,YES
SLIDELL MEMORIAL HOSPITAL,1001 Gause Blvd,Slidell,LA,70458-2939,985-280-5223,LCSR,10079536,104382,YES
RAYUS Radiology Murfreesboro,1001 N Highland Ave,Murfreesboro,TN,37130-2450,952-525-6318,Lung Cancer Screening Designated Site,10072098,101192,YES
Providence Newberg Medical Center,1001 N Providence Dr,Newberg,OR,97132-7485,503-215-4551,Lung Cancer Screening Designated Site,10065170,101039,YES
Ottumwa Regional Health Center,1001 Pennsylvania Ave,Ottumwa,IA,52501-6427,000-000-0000,LCSR,10070635,115432,YES
York Hospital,1001 S George St,York,PA,17403-3676,717-851-5166,Lung Cancer Screening Designated Site,10063334,101162,YES
CHI Saint Joseph Health London Hospital,1001 Saint Joseph Ln,London,KY,40741-8345,502-210-4497,LCSR,10065358,105626,YES
Trace Regional Health System,1002 E Madison St,Houston,MS,38851-2428,662-456-3100,LCSR,10069979,116241,YES
Knoxville Hospital and Clinics,1002 S Lincoln St,Knoxville,IA,50138-3121,641-842-1466,LCSR,10066744,113958,YES
Marshfield Clinic Eau Claire Center,1002 W Clairemont Ave,Eau Claire,WI,54701-6123,715-858-4694,LCSR,10070708,114349,YES
Blessing Hospital-B11 Facility,1005 Broadway St,Quincy,IL,62301-2834,217-223-1200,LCSR,10064544,104481,YES
Owensboro Health Healthpark Imaging,1006 Ford Ave,Owensboro,KY,42301-4677,270-685-7100,Lung Cancer Screening Designated Site,10077672,112133,YES
Gadsden Regional Medical Center,1007 Goodyear Ave,Gadsden,AL,35903-1195,256-494-4036,LCSR,10065417,106803,YES
St Mary Corwin Medical Center,1008 Minnequa Ave,Pueblo,CO,81004-3733,800-228-4039,LCSR,10067549,103821,YES
Spectrum Health Pennock,1009 W Green St,Hastings,MI,49058-1710,269-945-3451,LCSR,10062632,106021,YES
Granville Medical Center,1010 College St,Oxford,NC,27565-2507,919-690-3420,LCSR,10060616,107655,YES
Jefferson Hospital OP-Bethel Park,1010 Higbee Dr,Bethel Park,PA,15102-2806,412-854-7100,Lung Cancer Screening Designated Site,10070054,115463,YES
Baptist Health Deaconess Medical Group Powderly,1010 Medical Center Dr,Powderly,KY,42367-5463,270-377-1600,LCSR,10069445,105512,YES
OhioHealth Pickerington Medical Campus,1010 Refugee Rd,Pickerington,OH,43147-9653,614-788-4000,LCSR,10082659,103937,YES
Mercy Regional Medical Center,1010 Three Springs Blvd,Durango,CO,81301-8296,970-247-4311,LCSR,10060016,103819,YES
Mercy Hospital Ardmore Inc,1011 14th Ave NW Attn: Radiology,Ardmore,OK,73401,580-220-6688,LCSR,10064234,106578,YES
Breckinridge Memorial Hospital,1011 Old Highway 60,Hardinsburg,KY,40143-2519,270-756-6677,LCSR,10090922,107399,YES
Brooklyn Avenue,1014 Brooklyn Ave,Brooklyn,NY,11203-4003,718-282-7000,LCSR,10064679,107158,YES
SSM Health St Clare Hospital-Fenton,1015 Bowles Ave Dept Of,Fenton,MO,63026-2394,636-496-2000,Lung Cancer Screening Designated Site,10061092,102140,YES
Vaughan Regional Medical Center,1015 Medical Center Pkwy,Selma,AL,36701-6748,000-000-0000,LCSR,10061138,115448,YES
Legacy Good Samaritan Medical Center,1015 NW 22nd Ave,Portland,OR,97210-3025,503-413-6740,Lung Cancer Screening Designated Site,10065294,103673,YES
Trinity Health Advanced Imaging Center,1015 S Broadway Suit 1,Minot,ND,58701,701-857-3280,LCSR,10106934,107013,YES
UVA Imaging LLC,1015 Spring Creek Pkwy Ste 130,Zion Crossroads,VA,22942-7019,434-243-9198,Lung Cancer Screening Designated Site,10065653,181599,YES
Boone County Hospital,1015 Union St,Boone,IA,50036-4821,515-433-8160,LCSR,10077800,113947,YES
Jennersville Hospital,1015 W Baltimore Pike,West Grove,PA,19390-9459,610-869-1230,LCSR,10062048,105960,YES
Cibola General Hospital,1016 E Roosevelt Ave,Grants,NM,87020-2118,505-287-5255,LCSR,10061676,110563,YES
Zwanger Pesiri Radiology - Brentwood,1018 Suffolk Ave,Brentwood,NY,11717-4504,631-444-5544,LCSR,10106094,116363,YES
The Reading Hospital at Gateway,1020 Grings Hill Rd,Reading,PA,19608-8844,610-898-8575,Lung Cancer Screening Designated Site,10060559,101097,YES
Bayhealth OIM Outpatient Imaging Center,1020 Mattlind Way,Milford,DE,19963-5300,302-430-5670,Lung Cancer Screening Designated Site,10060633,112297,YES
Geisinger Jersey Shore,1020 Thompson St,Jersey Shore,PA,17740-1729,570-398-0100,LCSR,10062482,114684,YES
St Lukes Quakertown,1021 Park Ave,Quakertown,PA,18951-0130,484-526-2131,LCSR,10070944,101628,YES
Shelby Medical Out Patient Diagnostic Center,1022 1st St N,Alabaster,AL,35007-8706,205-621-3930,Lung Cancer Screening Designated Site,10107450,103984,YES
YAMPA VALLEY MEDICAL CENTER,1024 Central Park Dr,Steamboat Springs,CO,80487-8813,970-870-1227,LCSR,10068745,103470,YES
Poudre Valley Hospital,1024 S Lemay Ave,Fort Collins,CO,80524-3929,970-495-8602,LCSR,10064961,106109,YES
UH Samaritan Medical Center,1025 Center St,Ashland,OH,44805-4011,419-207-2490,LCSR,10077707,115702,YES
Acadiana Imaging Services,1025 Kaliste Saloom Rd Ste 101,Lafayette,LA,70508-4963,337-703-6400,Lung Cancer Screening Designated Site,10060936,115959,YES
Quincy Medical Group,1025 Maine St,Quincy,IL,62301-4038,217-222-6550,LCSR,10067218,114377,YES
Mayo Clinic Health System Mankato,1025 Marsh St,Mankato,MN,56001-4752,507-625-4031,LCSR,10074135,106460,YES
Delaney Radiologists Group,1025 Medical Center Dr,Wilmington,NC,28401-7354,910-341-1818,Lung Cancer Screening Designated Site,10064901,112327,YES
Atrium Health Imaging Center - Morehead,1025 Morehead Medical Dr Ste 100,Charlotte,NC,28204-2964,704-512-2061,Lung Cancer Screening Designated Site,10079540,11895,YES
Baptist Health Lagrange,1025 New Moody Ln,Lagrange,KY,40031-9154,502-222-3947,Lung Cancer Screening Designated Site,10063072,105100,YES
Springfield Clinic Main Campus,1025 S 6th St,Springfield,IL,62703-2403,217-528-7541,Lung Cancer Screening Designated Site,10071705,106331,YES
St Lukes Hospital,1026 A Ave NE,Cedar Rapids,IA,52402-5036,319-369-7363,LCSR,10073450,101016,YES
Cushing Regional Hospital,1027 E Cherry St,Cushing,OK,74023-4101,918-579-5864,LCSR,10089434,107227,YES
St Marys Regional Health Center,1027 Washington Ave,Detroit Lakes,MN,56501-3409,218-847-0811,LCSR,10063316,106841,YES
Florida Cancer Specialists - NFM,1030 Commerce Creek Blvd,Cape Coral,FL,33909-6529,239-772-3544,LCSR,10075778,108875,YES
CCHC Imaging Center,1030 Medical Park Ave,New Bern,NC,28562-5248,252-637-5480,LCSR,10069421,102151,YES
Southcoast Health - Truesdale Clinic,1030 President Ave,Fall River,MA,02720-5923,508-679-7532,Lung Cancer Screening Designated Site,10069467,5518,NO
Southcoast Health-Truesdale Clinic,1030 President Avenue Radiology,Fall River,MA,02720,508-973-7532,Lung Cancer Screening Designated Site,10087016,5518,YES
SENTARA PORT WARWICK ADVANCED IMAGING CENTER,1031 Loftis Blvd,Newport News,VA,23606-2981,757-736-9712,LCSR,10075712,104663,YES
Aurora Medical Center Washington County,1032 E Sumner St,Hartford,WI,53027-1608,414-647-6433,LCSR,10091113,114881,YES
East Alabama,1032 Main St S,Wedowee,AL,36278-7440,256-540-1173,LCSR,10073103,114288,YES
Watson Clinic LLP South,1033 N Parkway Frontage Rd,Lakeland,FL,33803-0401,863-680-7000,Lung Cancer Screening Designated Site,10079138,115708,YES
Kingman Regional Medical Center IC,1033 Sycamore Ave,Kingman,AZ,86409-3580,928-263-3874,LCSR,10062919,104462,YES
Overlake Medical Center,1035 116th Ave NE,Bellevue,WA,98004-4604,425-688-5000,LCSR,10087404,105435,YES
AdventHealth Gordon,1035 Red Bud Rd NE,Calhoun,GA,30701-6010,706-879-5850,LCSR,10067286,105518,YES
Florida Cancer Specialists - Wellington,1037 S State Road 7 Ste 303,Wellington,FL,33414-6140,561-366-4100,LCSR,10076617,115607,YES
Lancaster Imaging Center,1037 W Meeting St,Lancaster,SC,29720-2205,803-313-3170,Lung Cancer Screening Designated Site,10078250,115642,YES
Custer Hospital,1039 Montgomery St,Custer,SD,57730-1304,605-673-9428,LCSR,10093872,109448,YES
Heritage Harbour Health care center,1040 River Heritage Blvd,Bradenton,FL,34212-6348,941-917-6679,LCSR,10061897,104880,YES
AMITA-Bartlett Clinic,1041 W Stearns Rd,Bartlett,IL,60103-4509,847-755-8704,Lung Cancer Screening Designated Site,10100176,226289,YES
Mercy Health St Elizabeth Health Center,1044 Belmont Ave,Youngstown,OH,44504-1006,330-480-3751,LCSR,10065175,101997,YES
Mile Bluff Medical Center,1050 Division St,Mauston,WI,53948-1931,608-847-6161,LCSR,10078681,108886,YES
Canton Health Center,1051 N Canton Center Rd,Canton,MI,48187-5097,734-936-4500,LCSR,10062989,115935,YES
SAM Stapely & McKellips,1052 E McKellips Rd,Mesa,AZ,85203-2625,480-425-5000,LCSR,10071444,115038,YES
